Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Day
North Level 6,143,,,,,,Monday
North Level 5,180,,,,,,Monday
North Level 4,177,,,,,,Monday
North Level 3,107,,,,,,Monday
North Level 2,50,,,,,,Monday
North Level 1,32,,,1,13,,Monday
Union Level 6,,23,23,1,2,,Monday
Union Level 5,,110,109,1,4,,Monday
Union Level 4,44,2,2,,2,,Monday
Union Level 3,142,,,,5,,Monday
Union Level 2,78,,,,5,,Monday
Union Level 1,13,,,0,6,,Monday
CRI Deck 1 Level 7,46,46,45,,,,Monday
CRI Deck 1 Level 6,67,67,67,,2,,Monday
CRI Deck 1 Level 5,63,64,63,,4,,Monday
CRI Deck 1 Level 4,33,34,33,,7,,Monday
CRI Deck 1 Level 3,24,24,24,0,4,,Monday
CRI Deck 1 Level 2,19,20,19,0,4,,Monday
CRI Deck 1 Level 1,38,38,37,,2,,Monday
South Village Level 1,0,0,85,6,4,,Monday
South Village Level 2,0,0,,0,0,,Monday
South Village Level 3,0,0,,2,0,,Monday
South Village Level 4,0,0,,,0,,Monday
South Village Level 5,24,23,,,2,,Monday
South Village Level 6,60,60,,,1,,Monday
North Level 6,144,,,,,,Tuesday
North Level 5,178,,,,,,Tuesday
North Level 4,158,,,,,,Tuesday
North Level 3,49,,,,,,Tuesday
North Level 2,2,,,,,,Tuesday
North Level 1,2,,,0,15,,Tuesday
Union Level 6,,20,20,1,1,,Tuesday
Union Level 5,,87,87,1,1,,Tuesday
Union Level 4,6,0,0,,1,,Tuesday
Union Level 3,32,,,,3,,Tuesday
Union Level 2,0,,,,1,,Tuesday
Union Level 1,1,,,0,2,,Tuesday
CRI Deck 1 Level 7,45,46,45,,,,Tuesday
CRI Deck 1 Level 6,67,67,67,,2,,Tuesday
CRI Deck 1 Level 5,61,62,61,,3,,Tuesday
CRI Deck 1 Level 4,19,19,19,,7,,Tuesday
CRI Deck 1 Level 3,35,36,35,0,4,,Tuesday
CRI Deck 1 Level 2,13,13,12,0,4,,Tuesday
CRI Deck 1 Level 1,35,35,35,,2,,Tuesday
South Village Level 1,0,0,87,9,4,,Tuesday
South Village Level 2,0,0,,0,0,,Tuesday
South Village Level 3,1,1,,2,1,,Tuesday
South Village Level 4,2,1,,,0,,Tuesday
South Village Level 5,9,8,,,0,,Tuesday
