Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
North Level 6,143.0,,,,,,10:00,Monday
North Level 5,180.0,,,,,,10:00,Monday
North Level 4,177.0,,,,,,10:00,Monday
North Level 3,107.0,,,,,,10:00,Monday
North Level 2,50.0,,,,,,10:00,Monday
North Level 1,32.0,,,1.0,13.0,,10:00,Monday
Union Level 6,,23.0,23.0,1.0,2.0,,10:00,Monday
Union Level 5,,110.0,109.0,1.0,4.0,,10:00,Monday
Union Level 4,44.0,2.0,2.0,,2.0,,10:00,Monday
Union Level 3,142.0,,,,5.0,,10:00,Monday
Union Level 2,78.0,,,,5.0,,10:00,Monday
Union Level 1,13.0,,,0.0,6.0,,10:00,Monday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,10:00,Monday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,10:00,Monday
CRI Deck 1 Level 5,63.0,64.0,63.0,,4.0,,10:00,Monday
CRI Deck 1 Level 4,33.0,34.0,33.0,,7.0,,10:00,Monday
CRI Deck 1 Level 3,24.0,24.0,24.0,0.0,4.0,,10:00,Monday
CRI Deck 1 Level 2,19.0,20.0,19.0,0.0,4.0,,10:00,Monday
CRI Deck 1 Level 1,38.0,38.0,37.0,,2.0,,10:00,Monday
West Level 2,2.0,,,,,,10:00,Monday
West Level 3,40.0,,,2.0,,,10:00,Monday
West Level 4,70.0,,,,,,10:00,Monday
West Level 5,122.0,,,,,,10:00,Monday
South Village Level 1,0.0,0.0,85.0,6.0,4.0,,10:00,Monday
South Village Level 2,0.0,0.0,,0.0,0.0,,10:00,Monday
South Village Level 3,0.0,0.0,,2.0,0.0,,10:00,Monday
South Village Level 4,0.0,0.0,,,0.0,,10:00,Monday
South Village Level 5,24.0,23.0,,,2.0,,10:00,Monday
South Village Level 6,60.0,60.0,,,1.0,,10:00,Monday
East 3 Level 1,0.0,,,0.0,4.0,,10:00,Monday
East 3 Level 2,0.0,,,,,,10:00,Monday
East 3 Level 3,80.0,,,,,,10:00,Monday
East 3 Level 4,161.0,,,,,,10:00,Monday
East 3 Level 5,113.0,,,,,,10:00,Monday
East 2 Level 4,30.0,,,,,,10:00,Monday
East 2 Level 3,0.0,,,,,,10:00,Monday
East 2 Level 2,0.0,,,,,,10:00,Monday
East 2 Level 1,0.0,,,,13.0,,10:00,Monday
East 1 Level 1,,0.0,,4.0,3.0,,10:00,Monday
East 1 Level 2,,55.0,24.0,,,,10:00,Monday
East 1 Level 3,,113.0,48.0,,,,10:00,Monday
East 1 Level 4,,78.0,33.0,,,,10:00,Monday
North Level 6,142.0,,,,,,12:00,Monday
North Level 5,184.0,,,,,,12:00,Monday
North Level 4,176.0,,,,,,12:00,Monday
North Level 3,88.0,,,,,,12:00,Monday
North Level 2,24.0,,,,,,12:00,Monday
North Level 1,35.0,,,0.0,13.0,,12:00,Monday
Union Level 6,,15.0,14.0,1.0,2.0,,12:00,Monday
Union Level 5,,100.0,99.0,1.0,2.0,,12:00,Monday
Union Level 4,18.0,2.0,1.0,,3.0,,12:00,Monday
Union Level 3,118.0,,,,5.0,,12:00,Monday
Union Level 2,38.0,,,,4.0,,12:00,Monday
Union Level 1,2.0,,,0.0,6.0,,12:00,Monday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,12:00,Monday
CRI Deck 1 Level 6,66.0,66.0,66.0,,2.0,,12:00,Monday
CRI Deck 1 Level 5,60.0,61.0,60.0,,4.0,,12:00,Monday
CRI Deck 1 Level 4,32.0,32.0,31.0,,7.0,,12:00,Monday
CRI Deck 1 Level 3,61.0,61.0,61.0,0.0,3.0,,12:00,Monday
CRI Deck 1 Level 2,21.0,22.0,21.0,1.0,4.0,,12:00,Monday
CRI Deck 1 Level 1,38.0,38.0,38.0,,2.0,,12:00,Monday
West Level 2,0.0,,,,,,12:00,Monday
